+-----+------------------+-------------+------------+----------+----------+
| PID |       Name       | Arrive Time | Total Time | Run Time | Queue ID |
+-----+------------------+-------------+------------+----------+----------+
|  5  |     HANGING      |      1      |     1      |    1     |    0     |
|  11 |     HANGING      |      2      |     1      |    1     |    0     |
|  16 |        t3        |      5      |     3      |    3     |    1     |
|  29 |     HANGING      |      12     |     1      |    1     |    0     |
|  35 |     HANGING      |      13     |     1      |    1     |    0     |
|  42 |     HANGING      |      16     |     1      |    1     |    0     |
|  48 |     HANGING      |      17     |     1      |    1     |    0     |
|  54 |     HANGING      |      18     |     1      |    1     |    0     |
|  60 |     HANGING      |      19     |     1      |    1     |    0     |
|  66 |     HANGING      |      20     |     1      |    1     |    0     |
|  12 |        t1        |      2      |     4      |    4     |    2     |
|  15 |        t2        |      3      |     5      |    5     |    0     |
|  18 |        t4        |      6      |     4      |    4     |    0     |
|  19 |        t5        |      6      |     4      |    4     |    4     |
|  36 |        t6        |      13     |     4      |    4     |    0     |
|  67 |        t7        |      20     |     3      |    3     |    0     |
|  92 |  USER Interrupt  |      39     |     5      |    5     |    0     |
|  70 |       t10        |      21     |     4      |    4     |    0     |
|  99 | Random Interrupt |      46     |     2      |    2     |    0     |
|  78 |       t16        |      29     |     4      |    4     |    0     |
|  80 |       t17        |      31     |     2      |    2     |    0     |
| 119 | Random Interrupt |      56     |     3      |    3     |    0     |
| 108 |       t30        |      50     |     5      |    5     |    0     |
| 112 |       t32        |      52     |     5      |    5     |    0     |
| 130 | Random Interrupt |      71     |     1      |    1     |    0     |
| 115 |       t33        |      54     |     5      |    5     |    0     |
| 133 | Random Interrupt |      73     |     3      |    3     |    0     |
| 138 | Random Interrupt |      76     |     4      |    4     |    0     |
| 143 | Random Interrupt |      80     |     5      |    5     |    0     |
|  72 |       t12        |      23     |     2      |    2     |    1     |
|  75 |       t14        |      28     |     4      |    4     |    1     |
| 106 |       t28        |      49     |     3      |    3     |    1     |
| 109 |       t31        |      50     |     2      |    2     |    1     |
|  97 |       t24        |      45     |     2      |    2     |    2     |
|  68 |        t8        |      20     |     3      |    3     |    2     |
| 117 |       t34        |      55     |     3      |    3     |    2     |
|  83 |       t18        |      33     |     4      |    4     |    2     |
|  87 |       t20        |      35     |     2      |    2     |    3     |
| 100 |       t25        |      46     |     2      |    2     |    3     |
|  90 |       t22        |      37     |     2      |    2     |    3     |
|  93 |       t23        |      41     |     3      |    3     |    3     |
|  76 |       t15        |      28     |     3      |    3     |    3     |
|  69 |        t9        |      20     |     4      |    4     |    3     |
| 107 |       t29        |      49     |     4      |    4     |    3     |
|  73 |       t13        |      26     |     5      |    5     |    3     |
| 103 |       t26        |      48     |     5      |    5     |    3     |
|  71 |       t11        |      21     |     4      |    4     |    4     |
|  88 |       t21        |      36     |     4      |    4     |    4     |
| 118 |       t35        |      55     |     2      |    2     |    4     |
| 262 |     HANGING      |     151     |     1      |    1     |    0     |
| 268 |     HANGING      |     152     |     1      |    1     |    0     |
| 274 |     HANGING      |     153     |     1      |    1     |    0     |
| 280 |     HANGING      |     154     |     1      |    1     |    0     |
| 286 |     HANGING      |     155     |     1      |    1     |    0     |
| 292 |     HANGING      |     156     |     1      |    1     |    0     |
| 298 |     HANGING      |     157     |     1      |    1     |    0     |
|  85 |       t19        |      34     |     5      |    5     |    4     |
| 104 |       t27        |      48     |     4      |    4     |    4     |
| 250 |       name       |     148     |     5      |    5     |    2     |
| 310 |     HANGING      |     169     |     1      |    1     |    0     |
| 317 |     HANGING      |     170     |     1      |    1     |    0     |
| 324 |     HANGING      |     171     |     1      |    1     |    0     |
| 331 |     HANGING      |     172     |     1      |    1     |    0     |
| 338 |     HANGING      |     173     |     1      |    1     |    0     |
| 345 |     HANGING      |     174     |     1      |    1     |    0     |
| 352 |     HANGING      |     175     |     1      |    1     |    0     |
| 359 |     HANGING      |     176     |     1      |    1     |    0     |
| 366 |     HANGING      |     177     |     1      |    1     |    0     |
+-----+------------------+-------------+------------+----------+----------+
